cadireta
cadcont,cadpai,cadfilho,cadstatus,cadsuscad,cadpainome,cadfilnome,cadpaium,cadfilum,caduso,cadcomp,cadlarg,cadesp,cadpeso,cadfase,cadgrav,cadhora,cadimpdt,cadimphr,cadusuimp,cadlocal,cadgrpai,cadsgpai,cadsgrfil,cadsgfil,cadoriemb,cadproj,cadarquivo,cadcobr,cadlabr,cadesbr,cadclass,cadplcor,cadusamed,cadborint,cadbordsup,cadbordinf,cadboresq,cadbordir,cadpaiarea,cadtpfil,cadpembpr,cadpembpp,cadindter,caddimper,cadapp,cadmatricula
2,"P""_""1","F""_""15",N,IMP3CAD,Bancada Base,KIT BORDA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""16",N,IMP3CAD,Bancada Base,KIT BORDA,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""17",N,IMP3CAD,Bancada Base,KIT CARRINHO,UN,UN,2.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""18",N,IMP3CAD,Bancada Base,KIT DESEMPENADOR,UN,UN,2.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""19",N,IMP3CAD,Bancada Base,KIT TRILHO,UN,UN,2.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""20",N,IMP3CAD,Bancada Base,LAT DIR,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
2,"P""_""1","F""_""21",N,IMP3CAD,Bancada Base,LAT ESQ,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""2",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:09,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
3,"P""_""2","F""_""22",N,IMP3CAD,PAINEL 3F1B LAP,PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,400,1,400,2,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
1,5.8.1124,"P""_""3",N,IMP3CAD,ARMARIO 18MM BRANCO TX COZINHA      {RT16},PAINEL 3F1B LAP,UN,UN,1.0,0.0,0.0,0.0,0.0,40,1774234800000,15:11:10,1774234800000,,,,500,8,400,1,0,IMP3CAD,,0.0,0.0,0.0,,N,N,N,N,N,N,N,0.0,,0,0,S,0.0,PDM,
